,Value of $\hat{m}$,n,pred_error
576,5,2000,442040904008.3305
577,5,2000,415221817028.738
578,5,2000,604212731710.5911
579,5,2000,573680737016.0087
580,5,2000,571841467608.8145
581,5,2000,395811223196.6053
582,5,2000,490818917635.1094
583,5,2000,481025032047.85236
584,5,2000,445883404356.95026
585,5,2000,526740564163.31055
586,5,2000,493879877315.05273
587,5,2000,486264701167.1505
588,5,2000,468752053665.5995
589,5,2000,446773637623.6204
590,5,2000,578609895218.6857
591,5,2000,491027094449.72284
592,5,2000,504355317734.7911
593,5,2000,567236212506.05
594,5,2000,506804756606.20197
595,5,2000,441613045499.603
596,5,2000,464713096570.0572
597,5,2000,655328028445.087
598,5,2000,404789514051.37274
599,5,2000,455420232513.3088
600,5,5000,503740321885.6471
601,5,5000,575079264966.6964
602,5,5000,434795836561.0372
603,5,5000,433975861937.86554
604,5,5000,462314318877.0722
605,5,5000,463260712730.8147
606,5,5000,459918442228.0362
607,5,5000,595241491440.0692
608,5,5000,412300977583.7041
609,5,5000,465427283963.6459
610,5,5000,443394236958.65015
611,5,5000,495342949932.2148
612,5,5000,498139465863.0802
613,5,5000,457976947548.2346
614,5,5000,487642338356.8622
615,5,5000,463624061196.3241
616,5,5000,517503046440.715
617,5,5000,466222947821.8414
618,5,5000,480750068728.3412
619,5,5000,590374301195.95
620,5,5000,516766005098.5902
621,5,5000,510624411289.2198
622,5,5000,461627213237.2216
623,5,5000,466175905354.0259
624,5,5000,488875957944.4926
625,5,5000,504568301176.8884
626,5,5000,443501400193.4513
627,5,5000,433174551329.761
628,5,5000,439341475402.0793
629,5,5000,538400410701.3568
630,5,5000,438873087975.66364
631,5,5000,555929357932.439
632,5,5000,543237618456.7968
633,5,5000,624809278458.9279
634,5,5000,468014209501.6838
635,5,5000,372912444971.9259
636,5,5000,455115224681.8472
637,5,5000,434744228338.8165
638,5,5000,485637363132.847
639,5,5000,412243068128.64087
640,5,5000,514178592058.2324
641,5,5000,469455012194.6929
642,5,5000,402060184119.652
643,5,5000,440097485918.2724
644,5,5000,506182749106.3963
645,5,5000,489158848132.4646
646,5,5000,559743563808.955
647,5,5000,480491229164.4894
648,5,5000,520392174455.6034
649,5,5000,450723883841.4184
650,5,5000,543076066616.5307
651,5,5000,515604542163.7056
652,5,5000,492319776783.4295
653,5,5000,519803386727.6465
654,5,5000,537833853180.8788
655,5,5000,450862370525.5592
656,5,5000,464274684014.7422
657,5,5000,499037575081.215
658,5,5000,503771643270.0276
659,5,5000,423941228931.8784
660,5,5000,389072995148.3356
661,5,5000,581891949234.7833
662,5,5000,563085228783.0289
663,5,5000,415627357776.9616
664,5,5000,491634907879.6514
665,5,5000,412220147011.7004
666,5,5000,553989109311.2268
667,5,5000,420283423164.41113
668,5,5000,480678582000.9414
669,5,5000,431627015136.4351
670,5,5000,506828865354.183
671,5,5000,419260042673.9704
672,5,5000,482965581040.888
673,5,5000,457322776487.0743
674,5,5000,530705247150.7001
675,5,5000,492876074853.9368
676,5,5000,529086889216.3022
677,5,5000,539000781341.327
678,5,5000,563425108629.784
679,5,5000,486402955408.3298
680,5,5000,551821487850.696
681,5,5000,493110895839.025
682,5,5000,495031809587.5712
683,5,5000,494203048665.2141
684,5,5000,495205672711.202
685,5,5000,470268803282.3748
686,5,5000,454095238451.0793
687,5,5000,443521704204.1874
688,5,5000,422719314010.44824
689,5,5000,508813022881.9719
690,5,5000,447093632893.6694
691,5,5000,523173946471.2437
692,5,5000,498755506974.2066
693,5,5000,465729104926.5092
694,5,5000,461217258432.5156
695,5,5000,524579076537.8478
696,5,5000,442940981991.48096
697,5,5000,481506659091.8994
698,5,5000,539143587456.8861
699,5,5000,501763328587.7862
